Protein A (unique pairs!!)	Protein B (unique pairs!!)	Times detected (RIS >0) (Is still like to be able to filter for this. After all we have multi vector transformants that can give stochastic false positives)	uniqueABavgIS (max)	uniqueABsumIS (max)	Avg_RS (raw reads / # screens)	Avg_RIS (raw reads / # screens) => to know if interaction was sampled at all	Found in both orientations (1/0)	H47_avgIS	H47_sumIS	H47_found in both orientations	H47_times detected	Avg_RS (raw reads / # screens) in H47	Avg_RIS (raw reads / # screens) in H47	"Biogrid_all direct evidence (y2h, reconstituted complex, structure)"	Biogrid_all	Hippie	HuRI ?	Protein atlas (nuclear 1/0)	Youn-Gingras_data	Nanobret (pos/neg) unique	Nanobret MBU (mean)	Nanobret MBU std dev (from above)	Jaccard score	Cobinding prob	Cobinding odds ratio	Mean log min distance (bimodal)	Mean log min distance std dev	Meta RNA binding similarity A vs AB KS statistics	Meta RNA binding similarity B vs AB KS statistics
grb2	smchd1	1	0	0.64	0.55	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
trnau1ap	ctcf	1	0.26	0.64	14.45	1.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mepce	calr	1	0	0.64	3.27	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
vcp	dcaf7	2	0	0.64	4.91	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
trnau1ap	gtf2f1	3	0.24	0.64	22.36	2	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpn	grip1	1	0.21	0.64	8.09	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rnpc3	trak1	1	0	0.64	5.36	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kdm4b	kif3b	1	0	0.64	15.64	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sdhc	btf3	2	0	0.64	3.91	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rad21	rpusd4	1	0	0.64	0.55	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
elavl1	rpl13a	1	0.23	0.64	4.55	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpa	znf830	2	0.25	0.64	23.27	1.45	0	0	0	0	0	25.6	0	0	0	0	0			N/A	N/A	N/A							
znf830	grip1	4	0	0.64	0.64	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tuba1a	eif4e	1	0	0.64	6.73	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tppp3	dhx37	1	0	0.64	2.36	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
exosc5	utp3	1	0.23	0.64	4.73	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
emicsrrm3mut5	ngdn	1	0	0.64	2.82	0.91	0	0	0	0	0	3.2	0	0	0	0	0			N/A	N/A	N/A							
zmat5	sf3b14	2	0	0.64	11.45	1.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
celf1	prpf19	1	0	0.64	2.09	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf11conservedpeptide	ddx1	1	0	0.64	6.55	1.27	0	0	0	0	0	14.6	0	0	0	0	0			N/A	N/A	N/A							
usp10	map2	1	0	0.64	8.09	1.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
znf830	sf3a3	4	0	0.64	4	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
ddx39	sfswap	3	0	0.64	21.55	3.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
vcp	fez2	1	0	0.64	3.18	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
snrpa	ssbp1	2	0	0.64	2.45	0.45	0	0	0	0	3	14	1.2	0	0	0	0			N/A	N/A	N/A							
ddx47	myh9	2	0	0.64	7.45	2.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wdr18	rbm5	1	0	0.64	0	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hdac6	tcea1	2	0.22	0.64	16.91	1.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b3	dennd2d	1	0	0.64	4.45	0.73	0	0	0	0	1	23	0.4	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	nusap1	4	0.15	0.64	27.64	7.45	0	0	0	0	2	103.8	1.6	0	0	0	0			N/A	N/A	N/A							
lgals3	nop9	2	0.28	0.64	15.27	3.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx39	zc3h14	2	0.07	0.64	7.18	1.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ezh2	kif7_del	1	0	0.64	1	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
os9	csnk1e	1	0	0.64	1.09	2.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ppan	ube2l3	1	0	0.64	3.64	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
vcp	ptcd2	1	0	0.64	3.09	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
chd2	alg13	1	0	0.64	6.64	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm17	rrp1	1	0	0.64	6.27	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cpsf4	prpf31	1	0	0.64	18.27	1.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
larp4	kif5a	2	0.15	0.64	3.18	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
luc7l2	ints6	2	0.24	0.64	22.18	1.82	0	0	0	0	2	75	1.8	0	0	0	0			N/A	N/A	N/A							
suv39h1	mrps31	1	0	0.64	3.27	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm42	rbm33	1	0	0.63	7.09	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cnn3	dimt1	1	0	0.63	1.64	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
txnl4a	clk4	4	0	0.63	11.09	1.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcbp1	trak1	1	0.79	0.63	0.09	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm17	pnn	1	0	0.63	3.45	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eno1	hook3	1	0	0.63	0.91	0.36	0	0	0	0	0	20.4	0	0	0	0	0			N/A	N/A	N/A							
sf3b4	rdx	1	0	0.63	0	0.73	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
idh3a	znf830	2	0.29	0.63	18.73	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
u2af2	surf2	1	0	0.63	9.27	1.09	0	0	0	0	1	14.6	0.2	0	0	0	0			N/A	N/A	N/A							
supt5h	sarnp	1	0	0.63	0.82	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kpna2	ddx47	1	0	0.63	8.36	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
celf1	nusap1	1	0.26	0.63	37.91	8.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm12b	rps2	2	0	0.63	1.09	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
aldh6a1	kif2a	1	0	0.63	17.55	1.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps27l	atp5a1	2	0	0.63	10.27	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ppid	mettl14	1	0	0.63	3.64	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hnrnpa1	prpf19	1	0	0.63	0.09	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	1	1	1	0			N/A	N/A	N/A							
mbp	mrpl4	1	0	0.63	3	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
myo19	surf2	1	0	0.63	2.45	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ppan	rpl7a	1	0	0.63	16.91	1.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbms3	ddx1	1	0	0.63	14	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ankhd1	trub2	1	0.26	0.63	2.27	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
emicsrrm4	tcf25	2	0	0.63	8.91	1.36	0	0	0	0	1	10.6	0.4	0	0	0	0			N/A	N/A	N/A							
khdrbs1	rbm5	1	0	0.63	0.45	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
top3b	dennd2a	1	0	0.63	3.27	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
bms1	u2af1	1	0	0.63	2.82	0.45	0	0	0	0	0	5.2	0	0	0	0	0			N/A	N/A	N/A							
sf3b4	pdia3	1	0	0.63	0	1.09	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
thumpd1	kifc2_nter	2	0	0.63	13.55	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mocs3	larp4	1	0	0.63	6.18	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
leng1	myh9	1	0.29	0.63	27.91	2.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nol10	eif2c2	1	0	0.63	2.73	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif1c_cter	zc3h14	1	0	0.63	5.45	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif3g	hfm1	1	0	0.63	1.55	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
grb2	mrpl4	1	0	0.63	1.91	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lsm7	luc7l	1	0	0.63	9.82	0.82	0	0	0	0	0	26.2	0	0	0	0	0			N/A	N/A	N/A							
rbfox2_orf	c16orf80	1	0	0.63	2.91	0.91	0	0	0	0	0	19	0	0	0	0	0			N/A	N/A	N/A							
rps19	rbm19	1	0	0.63	5.91	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pcgf5	rbbp6	2	0	0.63	10.91	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
brix1	eif3d	1	0	0.63	4.55	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dync2li1	xpo5	1	0	0.63	5.27	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dhx37	gtf2f1	2	0	0.63	9.64	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
top3b	rpusd3	1	0	0.63	10.18	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ngrn	pqbp1	1	0	0.63	9.91	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
aen	cpsf4	2	0.25	0.63	21.55	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wdr46	rpl7l1	2	0	0.63	11.45	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
xrcc6	slain2	1	0	0.63	5.64	1.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ythdf2	dcn	1	0	0.63	2	1.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
usp39	dhx16	1	0	0.63	6.55	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cirbp	kif20a	1	0	0.63	1	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tarbp2	ube2o	1	0	0.63	16.91	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ganab	bbs5	1	0	0.63	4.36	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dync1h1	kif7_del	1	0	0.63	0.45	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dbc1	u2af1	1	0	0.63	2.82	0.64	0	0	0	0	0	10.2	0	0	0	0	0			N/A	N/A	N/A							
prpf31	sugp1	1	0.26	0.63	19.55	1.82	0	0.12	0	0	1	57.4	1.6	0	0	0	0			N/A	N/A	N/A							
ddx39ab	alg13	3	0	0.63	13.45	4.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mepce	cep55	1	0	0.63	1.27	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hadha	pnn	1	0	0.63	1.55	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zc3h7a	hdac6	1	0	0.63	16	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
actb	mrpl27	1	0	0.63	5.91	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sf3b3	prc1	1	0	0.63	1.09	0.64	0	0	0	0	0	12.6	0	0	0	0	0			N/A	N/A	N/A							
ccdc9	ints6	1	0.3	0.63	12.82	3.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pura	trmt2a	1	0	0.63	15.64	3.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eif3e	sars	1	0	0.63	2.27	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
c1orf35	zcchc9	2	0	0.63	7.64	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pspc1	rbm42	1	0.24	0.63	3.82	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
eral1	rbm10wtv	1	0	0.63	6.18	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dgcr14	akap1	1	0	0.63	7.91	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl31	rbm33	1	0	0.63	1.18	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
os9	nop2	1	0	0.63	2.64	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mrpl44	diexf	1	0	0.63	0.18	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
gltscr2	rpl26	1	0	0.63	7.45	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
clk2	tnrc6a	2	0	0.63	2.45	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lmna	kdm4b	1	0	0.63	3.36	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx39	lsm7	2	0.26	0.63	10.45	3.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
prpf31	secisbp2	1	0.28	0.63	1.27	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
katnb1	dhx37	1	0.26	0.63	12.64	1.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
clk3	kif2a	1	0.25	0.63	1	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lin28a	u2af1	1	0	0.63	0.82	0.55	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
nhp2	esrp2	4	0.33	0.63	13.27	5	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
trmt2a	bbs5	1	0	0.63	3	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif3b	eef1a2	1	0.25	0.63	9.18	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
krt81	mrps27	1	0	0.63	3.55	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tubg1	chtop	1	0	0.63	13.18	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
aldh2	imp3	1	0	0.63	2.18	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
emicsrrm3mut25	lsm2	1	0	0.63	2.27	0.36	0	0	0	0	0	3.4	0	0	0	0	0			N/A	N/A	N/A							
nol10	fbl	2	0	0.63	22.09	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	1	0	0			N/A	N/A	N/A							
clasp2	tnrc6a	1	0.25	0.63	20.82	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nxf3	dkc1	3	0	0.63	4.82	0.82	0	0	0	0	4	41.8	2	0	0	0	0			N/A	N/A	N/A							
txnl4a	dcn	1	0.21	0.63	6.18	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sart3	noc2l	1	0	0.63	4.18	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
supt5h	krr1	2	0	0.63	1.45	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rtn4	mrps7	1	0.29	0.63	5.64	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
qki	rps4y1	1	0	0.63	4.64	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
bcas2	slu7	1	0	0.63	5.18	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm38	hsp90ab1	3	0	0.63	13.27	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
stip1	kif1b_nter	1	0	0.63	4.91	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tra2a	snrpc	2	0	0.63	3.64	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps16	eif2b4	1	0	0.63	9.36	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
exosc5	alg13	2	0.21	0.63	6	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mapt	rps4x	1	0	0.63	5.45	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
igf2bp3	kif3c	1	0.28	0.63	5.91	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
c9orf78	frg1	1	0.25	0.63	11.45	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ints4	d2wsu81e	2	0	0.63	7.36	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
zfp36l1	nop16	3	0	0.62	7.82	1.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hist1h1e	fam120a	1	0	0.62	1.27	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mreg	wdr83	3	0.22	0.62	13.27	1.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nudt16	manf	1	0	0.62	21.36	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
kif3c	ptcd2	1	0	0.62	4.45	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
samd4b	mrpl44	1	0	0.62	8.45	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pfn1	pcgf5	2	0	0.62	5.09	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
tsnax	chtop	1	0	0.62	0.73	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ddx11	psmd4	1	0	0.62	3.27	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
hsd17b10	utp15	1	0	0.62	9.36	1.18	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
reep2	ddx19a	1	0	0.62	0.18	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ap2m1	mrpl13	1	0	0.62	3.91	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
fndc3b	rpusd3	1	0	0.62	3.36	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
aldh2	lyar	1	0	0.62	2.73	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sdhc	chd2	1	0	0.62	5	1.09	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sugp1	eif2c2	2	0.27	0.62	8.55	1.18	0	0	0	0	0	33.6	0	0	0	0	0			N/A	N/A	N/A							
tmem214	mrps5	1	0	0.62	4.82	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
cnn3	rbbp7	1	0	0.62	0.36	1.27	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
dhx8	rad21	1	0	0.62	3.27	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
sarnp	mrps23	1	0	0.62	11.55	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
ube2i	srfbp1	2	0	0.62	2.18	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rpl39l	grip1	1	0	0.62	0	0.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
raly	pwp2	1	0	0.62	13.09	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
wdr33	ptcd2	1	0	0.62	3.55	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
krt81	rrp7a	2	0	0.62	21	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
srsf12	ptcd2	1	0	0.62	7.73	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm7	chtop	1	0	0.62	11	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
larp4b	rpsa	2	0	0.62	3.36	1	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbbp6	mrpl44	1	0	0.62	10.18	0.64	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
klc4	dcaf7	2	0	0.62	7.73	1.18	0	0	0	0	2	34.8	1.6	0	0	0	0			N/A	N/A	N/A							
esrp2	eif3e	4	0.55	0.62	9.82	3.45	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
pspc1	wbp4	1	0	0.62	2	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
txnl4a	rpl9	2	0.24	0.62	9.18	1.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
lsm3	ints6	1	0	0.62	4.36	0.82	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
mbnl2	cxorf56	1	0	0.62	0.27	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbm19	exosc3_5437	1	0.23	0.62	8.45	1.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
nono	kat5	1	0	0.62	4.36	0.73	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rps21	fbl	2	0.22	0.62	33.45	0.91	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
txnl4a	syt4_38_stop	2	0	0.62	3.09	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
rbbp7	bcas2	1	0	0.62	4.55	0.55	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
acta1	rnps1	1	0	0.62	1.27	0.36	0	0	0	0	0	0	0	0	0	0	0			N/A	N/A	N/A							
srsf3	kif9	1	0	0.62	0.55	0.36	0	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0			N/A	N/A	N/A							
